"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.105416668E-3	-2.657406938E-1	-2.801395172E-1	-2.817843390E-1	4.780153545E-1
1.307941667E-2	2.695102293E-1	-1.217261660E-1	2.428828132E-1	3.826814395E-1
2.305441666E-2	1.307057059E0	2.407468253E-1	1.082092161E0	1.713849653E0
3.302941666E-2	2.121027192E0	1.063647704E0	2.187300119E0	3.227132566E0
4.300441666E-2	1.792280356E0	3.460265279E-2	1.656221495E0	2.440601536E0
5.297841666E-2	-5.620378768E-1	-1.074862663E0	1.634144747E-1	1.223895670E0
6.295341667E-2	-2.294639211E0	-1.597610174E0	-1.845392954E-1	2.802103162E0
7.292841667E-2	-1.272954927E0	-6.963685933E0	4.824444079E-1	7.095497771E0
8.290241667E-2	2.899031979E-1	-1.026418131E1	1.304736006E-1	1.026910342E1
9.287741667E-2	4.248870118E-3	-9.743562766E0	6.220850905E-2	9.743762278E0
1.028524167E-1	4.233096340E-3	-9.792947765E0	1.298315946E-1	9.793809274E0
1.128274167E-1	-2.209633331E-2	-9.793972197E0	1.543478004E-1	9.795213264E0
1.228014167E-1	-5.206945539E-2	-9.785558639E0	1.818250545E-1	9.787386242E0
1.327764167E-1	-7.367901027E-2	-9.787759531E0	2.144501607E-1	9.790385799E0
1.427514167E-1	-9.831450840E-2	-9.785161613E0	2.494937300E-1	9.788835510E0
1.527254167E-1	-1.272664028E-1	-9.787188258E0	2.753933688E-1	9.791889104E0
1.627004167E-1	-1.565673852E-1	-9.780969159E0	2.993318331E-1	9.786800835E0
1.726754167E-1	-1.864332086E-1	-9.782373075E0	3.283480561E-1	9.789657439E0
1.826494167E-1	-2.016842088E-1	-9.777773656E0	3.648463762E-1	9.786656582E0
1.926244167E-1	-2.301031387E-1	-9.776905929E0	3.912535715E-1	9.787436659E0
2.025994167E-1	-2.548567597E-1	-9.783057200E0	4.234893445E-1	9.795534869E0
2.125744167E-1	-2.665418355E-1	-9.781854427E0	4.596882506E-1	9.796276531E0
2.225484167E-1	-2.994677443E-1	-9.772394217E0	4.754393705E-1	9.788534735E0
2.325234167E-1	-3.062984617E-1	-9.767400695E0	5.068623074E-1	9.785338241E0
2.424984167E-1	-3.355171079E-1	-9.764482350E0	5.473579669E-1	9.785565289E0
2.524724167E-1	-3.585039379E-1	-9.762418283E0	5.668923084E-1	9.785433189E0
2.624474167E-1	-3.845831044E-1	-9.767345147E0	5.980380873E-1	9.793190743E0
2.724224167E-1	-4.009737270E-1	-9.757858624E0	6.369150547E-1	9.786840432E0
2.823974167E-1	-4.218266522E-1	-9.748767958E0	6.653126422E-1	9.780544736E0
2.923714167E-1	-4.463870044E-1	-9.745443231E0	6.970349566E-1	9.780530806E0
3.023462917E-1	-4.617870356E-1	-9.737539549E0	7.348838373E-1	9.776143309E0
3.123212917E-1	-4.850388541E-1	-9.741832575E0	7.594411198E-1	9.783420436E0
3.222952917E-1	-5.055678435E-1	-9.731809278E0	8.014942948E-1	9.777837377E0
3.322702917E-1	-5.323235329E-1	-9.722264283E0	8.347392241E-1	9.772542183E0
3.422452917E-1	-5.430560607E-1	-9.722187685E0	8.687067962E-1	9.776016303E0
3.522192917E-1	-5.549794836E-1	-9.729006708E0	9.037130530E-1	9.786637371E0
3.621942917E-1	-5.849382777E-1	-9.712032241E0	9.313505025E-1	9.774105421E0
3.721692917E-1	-6.042708902E-1	-9.701040060E0	9.840759424E-1	9.769530542E0
3.821442917E-1	-6.157597554E-1	-9.691809645E0	1.021588170E0	9.764936081E0
3.921182917E-1	-6.331262782E-1	-9.690329715E0	1.064450526E0	9.769155224E0
4.020932917E-1	-6.445435515E-1	-9.679928688E0	1.099825011E0	9.763507098E0
4.120682917E-1	-6.659394637E-1	-9.670428717E0	1.145944486E0	9.760832736E0
4.220422917E-1	-4.085613298E-1	-5.131555048E0	1.350122094E-1	5.149563852E0
4.320172917E-1	2.999874522E0	5.078943439E1	-3.954995856E1	6.444195152E1
4.419922917E-1	6.674006683E0	7.099241582E1	-1.691101656E1	7.328334020E1
4.519672917E-1	1.778358369E1	6.827160347E1	3.812890507E1	8.019402154E1
4.619412917E-1	5.659142885E0	4.963428653E1	-9.730921671E0	5.089478494E1
4.719162917E-1	1.693548658E0	1.653087738E1	-1.235398320E1	2.070649451E1
4.818912917E-1	9.157385098E-1	4.954945162E0	-1.419641395E0	5.235020560E0
4.918652917E-1	4.533629154E-1	-4.503174663E-1	3.709958344E0	3.764586919E0
5.018402917E-1	-2.934598399E-1	-2.460569742E0	6.775942363E0	7.214840057E0
5.118152917E-1	-1.009782714E0	-1.834367445E0	8.192267218E0	8.455637600E0
5.217902917E-1	-1.211494990E0	-7.772107351E-1	8.813545575E0	8.930305831E0
5.317642917E-1	-1.369121452E0	3.013970697E-1	9.308300126E0	9.413277059E0
5.417392917E-1	-1.502509159E0	1.424446052E0	9.623857983E0	9.844045043E0
5.517142917E-1	-1.636938401E0	2.585787573E0	9.802005687E0	1.026865036E1
5.616882917E-1	-1.777456056E0	3.767921208E0	9.843170085E0	1.068852551E1
5.716632917E-1	-1.908484996E0	4.951631545E0	9.761104998E0	1.111036186E1
5.816382917E-1	-2.044481438E0	6.107868739E0	9.542332009E0	1.151269148E1
5.916122917E-1	-2.174415779E0	7.259404771E0	9.186916022E0	1.190909180E1
6.015872917E-1	-2.285804360E0	8.275561974E0	8.734933854E0	1.224781193E1
6.115622917E-1	-6.403578222E-1	5.291782790E0	1.322659009E1	1.426028431E1
6.215372917E-1	4.093973063E0	-7.019473633E0	2.474065467E1	2.604099881E1
6.315112917E-1	-1.635811496E0	-1.814007206E1	1.534778334E1	2.381790392E1
6.414862917E-1	-9.266747473E0	-2.561632901E1	2.123805789E0	2.732360649E1
6.514612917E-1	-8.022392154E0	-2.106017623E1	1.224270133E0	2.256963970E1
6.614352917E-1	-4.493397826E0	-1.103767321E1	4.096749905E0	1.260175439E1
6.714102917E-1	-1.207456318E0	-7.910341376E-1	6.179750900E0	6.346101713E0
6.813852917E-1	1.096336709E0	4.507401615E0	7.684431860E0	8.976030109E0
6.913602917E-1	1.799376537E0	3.960370617E0	7.953158782E0	9.065044178E0
7.013342917E-1	1.245874571E0	2.486109796E0	1.985341968E0	3.416800856E0
7.113092917E-1	-3.560276348E0	-1.871678674E0	-4.147370655E1	4.166829830E1
7.212842917E-1	-6.195556508E0	-1.679173863E0	-3.462158841E1	3.521163060E1
7.312582917E-1	-3.061841851E0	2.908321450E0	-4.569735857E0	6.222193744E0
7.412332917E-1	1.458624343E0	5.036616147E0	6.086316487E0	8.033575515E0
7.512082917E-1	1.820915925E0	2.877256363E0	1.480559910E1	1.519210662E1
7.611832917E-1	-5.032844692E-3	4.488357818E-1	9.609196090E0	9.619674026E0
7.711572917E-1	-7.831795728E-1	1.112906768E0	-3.140143670E0	3.422343347E0
7.811322917E-1	-1.235784726E-1	1.119871021E0	-1.369233134E0	1.773184175E0
7.911072917E-1	-8.608830024E-2	3.613073855E-1	-2.738438201E-1	4.614592723E-1
8.010812917E-1	-1.712138747E-1	-1.124492295E-1	-1.884667532E0	1.895766528E0
8.110562917E-1	9.201984005E-1	-8.502363190E-3	-5.264769824E0	5.344589664E0
8.210312917E-1	1.609100246E0	1.140369386E0	-1.049611462E0	2.234128501E0
8.310062917E-1	6.898945561E-1	1.742027045E0	7.875316554E-1	2.032441594E0
8.409802917E-1	-4.176001020E-2	1.415786911E0	1.113035041E-1	1.420769138E0
8.509552917E-1	-6.257698962E-1	5.192420324E-1	1.249946426E0	1.491162741E0
8.609302917E-1	-6.697849582E-1	-5.002164352E-1	8.973856348E-1	1.226429513E0
8.709042917E-1	-9.873725295E-2	-5.724103258E-1	3.766776323E-3	5.808759031E-1
8.808792917E-1	2.649214076E-1	-1.802572332E-1	-7.648532295E-1	8.292626152E-1
8.908542917E-1	2.783472725E-1	4.899956850E-1	-1.302717547E0	1.419382254E0
9.008282917E-1	-6.450940669E-3	8.179471902E-1	-8.087085164E-1	1.150255922E0
9.108032917E-1	-3.829969010E-1	4.773638353E-1	2.345598865E-1	6.554244410E-1
9.207782917E-1	-4.018714208E-1	-5.140206881E-2	4.573908430E-1	6.110230722E-1
9.307532917E-1	-1.330121693E-1	-1.060580400E-1	2.250125527E-1	2.820836648E-1
9.407272917E-1	2.779137745E-2	2.753605147E-1	2.986640811E-1	4.071805583E-1
9.507022917E-1	5.389619865E-2	5.554425099E-1	1.882826829E-1	5.889580212E-1
9.606772917E-1	-2.608695064E-2	4.208535659E-1	-2.422653472E-1	4.863031476E-1
9.706512917E-1	-1.084880332E-1	1.951525035E-1	-5.372971380E-1	5.818439374E-1
9.806262917E-1	-5.003908284E-2	1.521525181E-1	-5.645252824E-1	5.868075434E-1
9.906012917E-1	-3.226084292E-2	2.119845177E-1	-4.014136934E-1	4.550946616E-1
1.000576292E0	-8.462596642E-2	2.720354956E-1	-1.732705414E-1	3.334479653E-1
1.010550292E0	-1.363755243E-1	3.047577569E-1	4.029667139E-2	3.363025360E-1
1.020525292E0	-1.188167011E-1	3.167378247E-1	1.727039462E-1	3.798248427E-1
1.030500292E0	-6.497084336E-2	2.796592415E-1	1.925792170E-1	3.457126793E-1
1.040474292E0	-1.225698279E-1	2.882035219E-1	2.090461457E-1	3.765433890E-1
1.050449292E0	-3.108385688E-1	3.711944059E-1	3.569350934E-1	6.015052483E-1
1.060424292E0	-2.084339422E-1	3.479708002E-1	1.972417867E-1	4.510351521E-1
1.070399292E0	5.832740139E-1	1.456231517E-1	4.454850934E0	4.495232087E0
1.080373292E0	1.380722620E0	-3.694140749E-1	5.127215245E0	5.322705879E0
1.090348292E0	-9.222223045E-2	-5.653114405E-1	-3.430752043E0	3.478238281E0
1.100323292E0	-1.324173028E0	-2.485849448E-1	-1.397219077E0	1.940991972E0
1.110297292E0	-1.972402664E0	-3.044094821E-1	-3.141574484E-1	2.020329752E0
1.120272292E0	-2.605253246E0	-1.153020494E-1	-3.478251314E-1	2.630897444E0
1.130247292E0	-3.978718010E0	5.463622226E-1	1.395903454E0	4.251735544E0
1.140222292E0	-5.560022639E0	7.059621931E-1	-5.012689340E-1	5.627033402E0
1.150196292E0	-5.869279536E0	1.220216697E0	-2.938145174E0	6.676081794E0
1.160171292E0	-4.045564549E0	1.693310091E0	-2.796861241E0	5.201569416E0
1.170146292E0	-2.494613401E0	1.421719496E0	-2.982767615E0	4.140203497E0
1.180120292E0	-1.388941905E0	9.282769136E-1	-4.330295885E-1	1.725796126E0
1.190095292E0	1.963637542E-2	7.162094385E-1	1.015162591E0	1.242536371E0
1.200070292E0	1.620429664E0	5.825910591E-1	1.864520366E0	2.538038777E0
1.210045292E0	2.176784779E0	1.225656069E-1	3.708279608E0	4.301715002E0
1.220019292E0	4.223583907E0	-1.779239457E0	8.640869111E-1	4.663796763E0
1.229994292E0	7.594584129E0	-4.478837966E0	-7.112751925E-1	8.845541816E0
1.239969292E0	6.032294061E0	-3.261926262E0	1.112700580E0	6.947433854E0
1.249943292E0	2.023387023E0	3.021920718E-1	-1.397773978E0	2.477738321E0
1.259918292E0	-8.866582599E-1	1.374220078E0	-4.853881302E0	5.121992521E0
1.269893292E0	-3.477704892E0	1.303351386E0	-4.238133826E0	5.635151681E0
1.279868292E0	-4.983490099E0	8.712080888E-2	-4.298691684E-1	5.002754352E0
1.289842292E0	-3.980485039E0	-1.018665293E0	9.670604718E-1	4.221036138E0
1.299817292E0	-1.526011457E0	-1.237684084E0	-1.785868299E-1	1.972933378E0
1.309791667E0	6.491891643E-1	-7.980949429E-1	5.641171467E-1	1.173298881E0
1.319765667E0	1.250816273E-2	2.856115974E-1	-3.629618186E-1	4.620299995E-1
1.329740667E0	-5.928334075E-1	4.621000078E-1	-1.192820299E0	1.409896497E0
1.339715667E0	-1.362589820E0	3.809577942E-1	-8.712801558E-1	1.661598317E0
1.349689667E0	-2.260718051E0	5.622796227E-1	-6.399099255E-1	2.415882694E0
1.359664667E0	-2.383151730E0	5.544784137E-1	-4.416600788E-1	2.486347141E0
1.369639667E0	-2.548348436E0	6.806439686E-1	-6.265233099E-1	2.711067580E0
1.379614667E0	-3.021748663E0	1.657019347E0	-1.032254587E0	3.597530769E0
1.389588667E0	-2.661598771E0	2.648360090E0	-1.559333131E0	4.065641277E0
1.399563667E0	-2.123385959E0	3.072147861E0	-1.803254410E0	4.147117900E0
1.409538667E0	-1.854249440E0	2.999840316E0	-1.631925144E0	3.885931366E0
1.419512667E0	-2.193635285E0	2.935969425E0	-9.729035944E-1	3.791898420E0
1.429487667E0	-2.973957323E0	3.581699961E0	-2.623201275E-1	4.662811236E0
1.439462667E0	-3.575143186E0	3.544488573E0	4.036672103E-1	5.050544056E0
1.449437667E0	-3.525622824E0	3.734221365E0	1.337023162E0	5.306793423E0
1.459411667E0	-3.517351353E0	3.855656340E0	1.158852654E0	5.346100058E0
1.469386667E0	-3.097058462E0	3.970640959E0	4.888015008E-1	5.059316915E0
1.479361667E0	-1.656006025E0	4.027830529E0	1.416897297E-2	4.354994315E0
1.489335667E0	-6.224254350E-1	4.069416511E0	-2.963117462E-1	4.127392011E0
1.499310667E0	-6.044573799E-1	4.935824182E0	1.145830320E0	5.103004625E0
1.509285667E0	-1.653120424E0	6.220628784E0	3.082207704E0	7.136458081E0
1.519260667E0	-1.388235708E0	6.961339445E0	-1.037494862E-1	7.099169614E0
1.529234667E0	4.026495025E-1	6.515820204E0	-2.550733223E0	7.008871487E0
1.539209667E0	2.142319974E0	4.957575240E0	-4.232964887E0	6.861856809E0
1.549184667E0	2.454796202E0	3.055123985E0	-3.530621901E0	5.274950044E0
1.559158667E0	2.047978511E0	2.524045946E0	-4.201545458E0	5.312062515E0
1.569133667E0	1.343172971E0	1.941787813E0	-4.097863215E0	4.729390708E0
1.579108667E0	3.059576055E-1	1.900972493E0	-3.370095366E0	3.881346320E0
1.589083667E0	-3.629053929E-1	2.154183828E0	-2.385752279E0	3.234814095E0
1.599057667E0	-1.241112745E0	2.097158858E0	-8.800980493E-1	2.590947452E0
1.609032667E0	-1.830535472E0	1.242024618E0	1.192450462E-1	2.215333981E0
1.619007667E0	-1.608954942E0	2.360772389E-1	7.149413967E-1	1.776403577E0
1.628981667E0	-2.180089040E0	2.424319929E-1	1.304994453E0	2.552365965E0
1.638956667E0	-2.479436368E0	8.191896504E-1	2.080291979E0	3.338606162E0
1.648931667E0	-2.826725310E0	1.935402653E0	2.373367292E0	4.167617030E0
1.658906667E0	-2.954774070E0	2.216610457E0	2.093441783E0	4.245768508E0
1.668880667E0	-2.872445859E0	2.122860879E0	1.461980499E0	3.859387322E0
1.678855667E0	-2.616241334E0	2.134452399E0	1.355144852E0	3.638272026E0
1.688830667E0	-2.148810237E0	2.094954457E0	1.358024898E0	3.294002313E0
1.698804667E0	-1.894068101E0	2.107199696E0	9.265945235E-1	2.981000158E0
1.708779667E0	-1.779681945E0	2.164224667E0	4.622867167E-2	2.802369234E0
1.718754667E0	-1.579278569E0	2.294941512E0	-9.683667397E-1	2.949340856E0
1.728729667E0	-1.282069860E0	2.456249819E0	-2.293796042E0	3.596994104E0
1.738703667E0	-4.768649948E-1	2.494232748E0	-3.672783501E0	4.465191583E0
1.748678667E0	8.893650091E-1	2.555407780E0	-4.092891912E0	4.906408386E0
1.758653667E0	2.521362659E0	2.420937022E0	-4.074288996E0	5.368243339E0
1.768627667E0	3.284961661E0	2.121582531E0	-3.647821738E0	5.347774208E0
1.778602667E0	2.550968866E0	2.611886328E0	-3.655620169E0	5.166522154E0
1.788577667E0	1.606164066E0	3.435159089E0	-4.987370312E0	6.265296769E0
1.798552667E0	1.593297561E0	2.891469775E0	-4.820387281E0	5.842544661E0
1.808526667E0	1.607599850E0	2.421717479E0	-4.676171554E0	5.505967057E0
1.818501667E0	1.402622489E0	1.531809264E0	-3.774263098E0	4.307998538E0
1.828476667E0	9.781269121E-1	5.447969230E-1	-2.851839686E0	3.063743713E0
1.838450667E0	6.479679734E-1	3.324503895E-1	-2.448197034E0	2.554222871E0
1.848425667E0	4.766737908E-1	4.457820003E-1	-1.726703832E0	1.845926764E0
1.858400667E0	4.604594618E-1	4.818005564E-1	-1.319597874E0	1.478341382E0
1.868374667E0	7.087386703E-1	2.728717205E-1	-1.403544595E0	1.595840503E0
1.878349667E0	9.525894901E-1	6.396430001E-2	-1.746242888E0	1.990196571E0
1.888324667E0	9.528597777E-1	1.909565415E-1	-1.823583425E0	2.066364601E0
1.898299667E0	9.307359602E-1	5.106738149E-1	-1.582144874E0	1.905318759E0
1.908273667E0	8.693672392E-1	8.836353225E-1	-1.281563491E0	1.782979462E0
1.918248667E0	5.556447505E-1	1.156744148E0	-1.025592270E0	1.642753060E0
1.928223667E0	1.962568963E-1	1.205134316E0	-9.801348460E-1	1.565736186E0
1.938197667E0	-1.419125817E-1	1.166503224E0	-1.479633243E0	1.889492918E0
1.948172667E0	-2.859178819E-1	1.178702416E0	-1.538080841E0	1.958770302E0
1.958147667E0	-3.566770850E-1	1.257852885E0	-1.524559155E0	2.008405597E0
1.968122667E0	-3.186787348E-1	1.260140023E0	-1.492630434E0	1.979256079E0
1.978096667E0	2.926363327E-2	9.592779008E-1	-1.316597668E0	1.629263598E0
1.988071667E0	6.064536193E-1	4.775775876E-1	-1.597948143E0	1.774628021E0
1.998046667E0	1.043220602E0	3.923788682E-2	-2.274831183E0	2.502939421E0
2.008020667E0	1.235558329E0	1.574737036E-1	-2.208797992E0	2.535782112E0
2.017995667E0	1.084124360E0	5.167835706E-1	-1.583362849E0	1.987316985E0
2.027970667E0	3.462288781E-1	4.797888219E-1	-1.017006803E0	1.176594487E0
2.037945667E0	-1.140382834E-1	8.548608819E-1	-4.768041837E-1	9.854613575E-1
2.047919667E0	-2.084152311E-1	8.771083680E-1	-3.075436628E-1	9.525434910E-1
2.057894667E0	-3.339468382E-1	5.541917905E-1	-5.149268603E-1	8.269212193E-1
2.067869667E0	-2.820493457E-1	4.482643627E-1	-6.576954013E-1	8.444264404E-1
2.077843667E0	-3.900595335E-2	3.789973690E-1	-8.432404178E-1	9.253187950E-1
2.087818667E0	3.720265377E-1	1.733898246E-1	-7.855634826E-1	8.863282469E-1
2.097793667E0	3.956783789E-1	6.903456688E-2	-5.975024092E-1	7.199557486E-1
2.107768667E0	-1.050153353E-1	-4.063882121E-1	1.388530700E0	1.450585090E0
2.117742667E0	4.557303800E-1	-5.564341977E-1	6.565335596E-1	9.738303294E-1
2.127717667E0	4.736569930E-1	-4.389767915E-2	9.477570587E-1	1.060434532E0
2.137692667E0	3.443455996E-1	6.584814133E-1	6.932219142E-1	1.016232398E0
2.147666667E0	-7.042934708E-2	1.336502613E0	3.407698810E-1	1.381058884E0
2.157641667E0	-6.049038879E-1	1.161388591E0	1.047727489E-1	1.313662629E0
2.167616667E0	-3.857534612E-1	7.195726839E-1	-5.357628286E-2	8.182059632E-1
2.177591667E0	-4.248740382E-1	2.304530945E-1	-2.599783176E-1	5.488308508E-1
2.187565667E0	-4.779621517E-1	-1.322722042E-1	-5.930374753E-1	7.730699849E-1
2.197540667E0	-4.329892427E-2	-4.883641291E-1	-8.379416710E-1	9.708349826E-1
2.207515667E0	3.251850779E-1	-9.218635413E-1	-6.678409052E-1	1.183887325E0
2.217489667E0	8.142186400E-1	-1.165672261E0	-3.511352402E-1	1.464595429E0
2.227464667E0	6.337604088E-1	-7.713190806E-1	8.035927874E-1	1.281540771E0
2.237439667E0	4.675622939E-1	-5.723947576E-1	6.810176057E-1	1.005005093E0
2.247414667E0	3.868840934E-1	-1.845653155E-1	-1.310185611E-1	4.482293172E-1
2.257388667E0	1.719227582E-2	4.431312382E-1	-1.091930686E0	1.178547195E0
2.267363667E0	-1.590428039E-1	5.900969106E-1	-2.063474802E0	2.152077424E0
2.277338667E0	-1.176992251E-1	7.075619182E-1	-3.134078354E0	3.215111834E0
2.287312667E0	3.134027191E-1	6.649231446E-1	-3.825342620E0	3.895329282E0
2.297287667E0	-8.504541278E-2	1.429264450E0	-1.696985943E0	2.220313240E0
2.307266083E0	-1.720274380E0	2.157453007E0	1.781755368E0	3.284600373E0
2.317240083E0	-3.050056788E0	1.939599200E0	1.950708325E0	4.107329356E0
2.327215083E0	-2.666927338E0	1.614357477E0	5.565777469E-1	3.166769692E0
2.337190083E0	-2.258503126E0	1.473162130E0	-1.852824765E-1	2.702845283E0
2.347165083E0	-2.145000484E0	1.504530687E0	-7.712927681E-1	2.731214418E0
2.357139083E0	-1.654253322E0	1.322108961E0	-1.095441354E0	2.384222707E0
2.367114083E0	-1.096608897E0	9.673484471E-1	-7.808155435E-1	1.657705343E0
2.377089083E0	-4.528693374E-1	4.765486604E-1	-6.465652263E-1	9.220823468E-1
2.387063083E0	-1.243118048E-3	-5.253986388E-2	-8.479216987E-1	8.495488154E-1
2.397038083E0	3.305284828E-2	-4.003974473E-1	-5.998985982E-1	7.220034174E-1
2.407013083E0	-6.942693332E-2	-7.219478229E-1	-1.956642079E-1	7.512078542E-1
2.416988083E0	-1.359859353E-1	-1.116155992E0	-4.131081247E-1	1.197895946E0
2.426962083E0	-4.218441573E-1	-1.164720627E0	-9.498924619E-1	1.561032453E0
2.436937083E0	-6.832203980E-1	-9.159289098E-1	-1.009483775E0	1.524720752E0
2.446912083E0	-8.260794977E-1	-6.165874287E-1	-8.744622105E-1	1.351766086E0
2.456886083E0	-9.757903647E-1	-3.319212896E-1	-7.337782019E-1	1.265215013E0
2.466861083E0	-1.027533253E0	-4.273466796E-1	-5.021179497E-2	1.113988777E0
2.476836083E0	-1.102295899E0	-6.034104359E-1	-9.412321508E-2	1.260166490E0
2.486811083E0	-3.478037891E-1	-3.539910203E-1	-4.812714565E-1	6.913026349E-1
2.496785083E0	-2.374276534E-1	-5.560883349E-1	3.750000662E-1	7.114992456E-1
2.506760083E0	-1.758972569E-1	-6.518458468E-1	3.292374176E-1	7.511591909E-1
2.516735083E0	-2.174010859E-1	-6.658902740E-1	1.463511300E-1	7.156058569E-1
2.526709083E0	-4.516120398E-1	-6.189295310E-1	-2.120709103E-1	7.949850752E-1
2.536684083E0	-6.070200683E-1	-3.230481398E-1	-4.347884309E-1	8.135566628E-1
2.546659083E0	-6.552892721E-1	2.213866943E-1	-4.438013291E-1	8.218124593E-1
2.556634083E0	-6.103974201E-1	5.380707246E-1	-2.111640072E-1	8.406517430E-1
2.566608083E0	-4.880495489E-1	3.399451312E-1	1.018111342E-1	6.034240312E-1
2.576583083E0	-4.375718518E-1	-3.586799026E-2	6.333528578E-2	4.435842610E-1
2.586558083E0	-3.415250489E-1	-2.668286231E-1	7.929701507E-2	4.405960619E-1
2.596532083E0	-2.113357691E-1	-4.278232276E-1	-1.577549547E-1	5.025755139E-1
2.606507083E0	-5.949965850E-2	-5.531726208E-1	-3.896064109E-1	6.792152186E-1
2.616482083E0	-1.461786371E-1	-5.700766289E-1	-5.780580783E-1	8.249282991E-1
2.626457083E0	-4.479405731E-1	-5.453724352E-1	-5.269271010E-1	8.807576397E-1
2.636431083E0	-7.279767407E-1	-3.935298926E-1	-1.166375096E0	1.430121246E0
2.646406083E0	-8.309269126E-1	-3.042563581E-1	-7.312194604E-1	1.147908256E0
2.656381083E0	-8.226357070E-1	-1.846424988E-1	-3.323779571E-1	9.062546359E-1
2.666355083E0	-5.592902702E-1	-1.230084604E-1	-1.052703470E-1	5.822529808E-1
2.676330083E0	-2.490564497E-1	1.297915229E-1	-6.216467321E-2	2.876445743E-1
2.686305083E0	1.599716341E-1	2.759061331E-1	3.055374831E-1	4.416653389E-1
2.696280083E0	4.502391136E-1	3.601756203E-1	6.281657928E-1	8.526628877E-1
2.706254083E0	4.353768070E-1	3.696329069E-1	6.165976614E-1	8.404606629E-1
2.716229083E0	2.019103499E-1	1.561446315E-1	3.519637907E-1	4.347728663E-1
2.726204083E0	-8.252307013E-2	-6.162029743E-2	-2.186273932E-2	1.052857898E-1
2.736178083E0	-1.931481510E-3	-1.664608741E-1	-1.302975994E-1	2.114010824E-1
2.746153083E0	1.865353887E-1	-1.602148783E-1	2.792630196E-3	2.459106692E-1
2.756128083E0	2.659921789E-1	-1.257969975E-1	5.196654439E-2	2.987929811E-1
2.766103083E0	1.488769810E-1	-9.653811514E-2	1.222886682E-1	2.154958967E-1
2.776077083E0	-6.720935851E-2	-1.208648711E-1	1.344900531E-1	1.929066855E-1
2.786052083E0	-1.680223730E-1	-1.964915890E-1	1.132447797E-1	2.822496103E-1
2.796027083E0	-2.724264550E-1	-1.551582062E-1	1.106714201E-1	3.324731652E-1
2.806001083E0	-4.558840156E-1	-1.164373595E-1	8.639261127E-2	4.783843409E-1
2.815976083E0	-6.098701474E-1	-6.650681555E-2	9.843495190E-2	6.213325945E-1
2.825951083E0	-6.565215728E-1	1.069560993E-1	1.620813096E-1	6.846389805E-1
2.835925083E0	-6.771891412E-1	2.251575637E-1	1.532952833E-1	7.299181498E-1
2.845900083E0	-6.353385723E-1	2.116586816E-1	9.983185172E-2	6.770678677E-1
2.855875083E0	-5.476268291E-1	9.967982411E-2	1.967821956E-1	5.903849963E-1
2.865850083E0	-4.591613799E-1	9.653753042E-4	3.348261863E-1	5.682769394E-1
2.875824083E0	-4.211562324E-1	-9.872555852E-2	4.904445684E-1	6.539535019E-1
2.885799083E0	-4.697053716E-1	-1.510382581E-1	-1.914524585E-1	5.292350473E-1
2.895774083E0	-3.441372925E-1	7.810125947E-3	-1.298540881E0	1.343391192E0
2.905748083E0	-1.162993652E-1	1.230733645E-1	-1.059504367E0	1.072950184E0
2.915723083E0	-6.726929247E-2	-9.160072625E-2	-2.203330261E-1	2.479163027E-1
2.925698083E0	-2.775044695E-1	-2.063804001E-1	1.781792790E-1	3.890365735E-1
2.935673083E0	-3.929475099E-1	-3.803789198E-2	7.584072590E-2	4.020030379E-1
2.945647083E0	-3.903396517E-1	1.273833472E-1	-1.386959553E-3	4.106013693E-1
2.955622083E0	-2.397373036E-1	3.868804389E-1	1.959723562E-1	4.955356830E-1
2.965597083E0	-8.160754234E-2	5.077453101E-1	4.691905242E-1	6.961356469E-1